questions,option_A,option_B,option_C,option_D,correct_answer,option_E,source_file,source_folder,year,question,answer_llm,model_basename
"Varón de 65 años con antecedente de hipertensión arterial, acude por cefalea intensa, convulsiones y edema de papila. 
Examen: PA: 190/120 mmHg. ¿Cuál es el medicamento inicial a usar?",Labetalol,Hidralazina,Nitroprusiato,Nitroglicerina,C,Ninguna de las anteriores,Prueba A,Year2025,2025,"Varón de 65 años con antecedente de hipertensión arterial, acude por cefalea intensa, convulsiones y edema de papila. 
Examen: PA: 190/120 mmHg. ¿Cuál es el medicamento inicial a usar? A) Labetalol B) Hidralazina C) Nitroprusiato D) Nitroglicerina E) Ninguna de las anteriores","Respuesta final: A) Labetalol. The patient presents with severe headache, seizures, and papilledema, which are indicative of a hypertensive emergency. Labetalol is the initial medication of choice for this scenario as it is a potent vasodilator that can rapidly reduce blood pressure. It is also effective in reducing the symptoms of headache and preventing further complications. The other options, such as hydralazine, nitroprusside, and nitroglycerin, may also be used in certain situations, but labetalol is generally considered the first-line treatment for hypertensive emergencies.",JSL-MedLlama-3-8B-v2.0
"Mujer de 32 años asintomática que acude por chequeo. Al examen de mama a la expresión de uno de los pezones sale 
secreción blanco lechoso. ¿Cuál es el manejo más adecuado?",Solicitar prolactina,Mamografía,Ecografía de mamas,Observación,D,Ninguna de las anteriores,Prueba A,Year2025,2025,"Mujer de 32 años asintomática que acude por chequeo. Al examen de mama a la expresión de uno de los pezones sale 
secreción blanco lechoso. ¿Cuál es el manejo más adecuado? A) Solicitar prolactina B) Mamografía C) Ecografía de mamas D) Observación E) Ninguna de las anteriores","Respuesta final: A) Solicitar prolactina. The presence of white, milky discharge from the nipple of a 32-year-old woman who is otherwise asymptomatic warrants further investigation. The most appropriate next step is to request a prolactin level to assess for hyperprolactinemia, which can cause galactorrhea (abnormal lactation). Mamography and breast ultrasound may be indicated in certain cases, but they are not the initial tests to order. Observation alone is not sufficient given the presence of symptoms. Therefore, the answer is A) Solicitar prolactina.",JSL-MedLlama-3-8B-v2.0
¿Cuál es el sitio más frecuente de implantación del blastocisto?,Fondo uterino,Segmento inferior del útero,Cérvix uterino,Cuerno uterino,A,Ninguna de las anteriores,Prueba A,Year2025,2025,¿Cuál es el sitio más frecuente de implantación del blastocisto? A) Fondo uterino B) Segmento inferior del útero C) Cérvix uterino D) Cuerno uterino E) Ninguna de las anteriores,"Respuesta final: A) Fondo uterino. The blastocyst most commonly implants in the fundus of the uterus. The fundus is the upper part of the uterus, and it is the preferred site for implantation of the blastocyst during pregnancy. Other options such as the lower segment, cervix, and cornu of the uterus are not typically sites for implantation. Therefore, the correct answer is A) Fondo uterino.",JSL-MedLlama-3-8B-v2.0
"Varón de 43 años, llevado a urgencias porque sufrió hace 30 minutos impacto de timón en el tórax por accidente de 
tránsito. Presenta disnea intensa, dolor torácico izquierdo, taquipnea. Examen: PA:80/40 mmHg, FC: 100X', FR: 36X'; 
cianosis distal, movimiento paradojal de la pared torácica. RX: múltiples fracturas costales izquierdas. ¿Cuál es la 
conducta más adecuada?",Colocación de catéter central,Ventilación no invasiva,Fijación costal quirúrgica,Intubación orotraqueal,D,Ninguna de las anteriores,Prueba A,Year2025,2025,"Varón de 43 años, llevado a urgencias porque sufrió hace 30 minutos impacto de timón en el tórax por accidente de 
tránsito. Presenta disnea intensa, dolor torácico izquierdo, taquipnea. Examen: PA:80/40 mmHg, FC: 100X', FR: 36X'; 
cianosis distal, movimiento paradojal de la pared torácica. RX: múltiples fracturas costales izquierdas. ¿Cuál es la 
conducta más adecuada? A) Colocación de catéter central B) Ventilación no invasiva C) Fijación costal quirúrgica D) Intubación orotraqueal E) Ninguna de las anteriores","Respuesta final: D) Intubación orotraqueal. The patient presents with severe respiratory distress, hypotension, and a high respiratory rate, indicating a need for immediate airway management. Orotracheal intubation is the most appropriate next step to ensure adequate oxygenation and ventilation. Other options such as central catheter placement, non-invasive ventilation, or surgical costal fixation are not indicated in this acute setting with severe respiratory compromise.",JSL-MedLlama-3-8B-v2.0
"Varón de 27 años, acude a consulta por visión doble y caída del párpado derecho. Examen: se evidencia pupila derecha 
dilatada con incapacidad para mover el ojo hacia el lado nasal ¿Cuál es el par craneal comprometido?",VI,I,III,IV,C,Ninguna de las anteriores,Prueba A,Year2025,2025,"Varón de 27 años, acude a consulta por visión doble y caída del párpado derecho. Examen: se evidencia pupila derecha 
dilatada con incapacidad para mover el ojo hacia el lado nasal ¿Cuál es el par craneal comprometido? A) VI B) I C) III D) IV E) Ninguna de las anteriores","Respuesta final: A) VI  The patient's symptoms of double vision and inability to move the right eye towards the nose suggest a cranial nerve palsy. The dilated right pupil also indicates paralysis of the sympathetic fibers, which are innervated by the 3rd cranial nerve. However, the specific symptom of inability to move the eye towards the nose is characteristic of the 6th cranial nerve palsy, which innervates the lateral rectus muscle responsible for this movement. Therefore, the correct answer is A) VI.  The 1st cranial nerve is responsible for the sense of smell and eye movements, but it does not control the muscles that move the eye towards the nose. The 3rd cranial nerve is responsible for the constriction of the pupil and the movement of the eye, but it does not specifically control the movement towards the nose. The 4th cranial nerve is responsible for the movement of the eye in an upward and downward direction, and the 5th cranial nerve is responsible for the movement of the eye in an upward and outward direction. None of these nerves are directly involved in the specific movement of the eye towards the nose, making option E) None of the above incorrect.  The correct",JSL-MedLlama-3-8B-v2.0
"Mujer de 58 años con antecedentes de litiasis renal recurrente, presenta fiebre de 39.2 °C, vómitos y dolor lumbar 
izquierdo de 48 horas de evolución. Examen: PA: 90/60 mmHg, FC: 120X', dolor en fosa lumbar izquierda. Leucocitosis. 
Tomografía abdomino pélvica: litiasis obstructiva en uréter proximal izquierdo, dilatación del sistema pielocalicial y 
absceso perinéfrico. ¿Cuál es la intervención inicial más adecuada?",Litotricia extracorpórea y seguimiento con antibióticos,Derivación urinaria urgente con  catéter doble J y nefrostomía percutánea,Antibióticos de amplio espectro y nefrectomía diferida,Drenaje quirúrgico del absceso sin derivación urinaria,B,Ninguna de las anteriores,Prueba A,Year2025,2025,"Mujer de 58 años con antecedentes de litiasis renal recurrente, presenta fiebre de 39.2 °C, vómitos y dolor lumbar 
izquierdo de 48 horas de evolución. Examen: PA: 90/60 mmHg, FC: 120X', dolor en fosa lumbar izquierda. Leucocitosis. 
Tomografía abdomino pélvica: litiasis obstructiva en uréter proximal izquierdo, dilatación del sistema pielocalicial y 
absceso perinéfrico. ¿Cuál es la intervención inicial más adecuada? A) Litotricia extracorpórea y seguimiento con antibióticos B) Derivación urinaria urgente con  catéter doble J y nefrostomía percutánea C) Antibióticos de amplio espectro y nefrectomía diferida D) Drenaje quirúrgico del absceso sin derivación urinaria E) Ninguna de las anteriores",Respuesta final: B) Derivación urinaria urgente con catéter doble J y nefrostomía percutánea.,JSL-MedLlama-3-8B-v2.0
"Preescolar de 4 años, contacto de familiar con TB pulmonar acude a control presentando un resultado de PPD de 12 mm. 
Asintomático. Antecedentes: inmunizaciones completas. Examen físico normal. Rx de tórax sin hallazgos. ¿Cuál es el 
diagnóstico?",Reacción cruzada a BCG,Infección por Mycobacterium tuberculosis,Enfermedad por Mycobacterium tuberculosis,Exposición a Mycobacterium tuberculosis,B,Ninguna de las anteriores,Prueba A,Year2025,2025,"Preescolar de 4 años, contacto de familiar con TB pulmonar acude a control presentando un resultado de PPD de 12 mm. 
Asintomático. Antecedentes: inmunizaciones completas. Examen físico normal. Rx de tórax sin hallazgos. ¿Cuál es el 
diagnóstico? A) Reacción cruzada a BCG B) Infección por Mycobacterium tuberculosis C) Enfermedad por Mycobacterium tuberculosis D) Exposición a Mycobacterium tuberculosis E) Ninguna de las anteriores","Respuesta final: B) Infección por Mycobacterium tuberculosis. The 4-year-old child with a 12 mm PPD reaction, no symptoms, complete immunizations, normal physical examination, and normal chest x-ray is most likely infected with Mycobacterium tuberculosis. The PPD test is used to screen for tuberculosis infection, and a reaction of 10 mm or greater in children is considered positive. The child's age, lack of symptoms, and normal findings on examination and chest x-ray make active disease less likely. However, the PPD reaction indicates exposure to the bacteria, and further evaluation, such as a chest x-ray and sputum culture, should be performed to confirm the diagnosis and determine the appropriate treatment. The answer is B) Infección por Mycobacterium tuberculosis.",JSL-MedLlama-3-8B-v2.0
"Varón de 64 años con diagnóstico de enfermedad pulmonar obstructiva crónica, ingresa a emergencia por 
descompensación. Examen: FR: 32X'. Laboratorio: pH: 7.24, PaCO2: 62 mmHg, PaO2: 55 mmHg. ¿Qué tipo de receptores 
son los más sensibles a los cambios de CO2?",Quimiorreceptores centrales bulbo raquídeo,Receptores J (yuxtacapilares),Receptores de estiramiento pulmonar,Quimiorreceptores periféricos en los cuerpos carotídeos y aórticos,A,Ninguna de las anteriores,Prueba A,Year2025,2025,"Varón de 64 años con diagnóstico de enfermedad pulmonar obstructiva crónica, ingresa a emergencia por 
descompensación. Examen: FR: 32X'. Laboratorio: pH: 7.24, PaCO2: 62 mmHg, PaO2: 55 mmHg. ¿Qué tipo de receptores 
son los más sensibles a los cambios de CO2? A) Quimiorreceptores centrales bulbo raquídeo B) Receptores J (yuxtacapilares) C) Receptores de estiramiento pulmonar D) Quimiorreceptores periféricos en los cuerpos carotídeos y aórticos E) Ninguna de las anteriores",Respuesta final: B) Receptores J (yuxtacapilares),JSL-MedLlama-3-8B-v2.0
"Varón de 38 años, gasfitero, presenta fiebre, escalofríos, cefalea frontal intensa, náusea, vómitos, dolor abdominal 
inespecífico, congestión conjuntival, mialgia intensa y fotofobia. Examen: febril, ictérico, PA: 105/75 mmHg, FC: 68 X', 
congestión conjuntival y faríngea, sensibilidad muscular, adenomegalia cervical, meningismo y hepatoesplenomegalia. 
Crepitantes en hemitórax derecho. ¿Cuál es el tratamiento indicado?",Gentamicina,Sulfametoxazol,Penicilina,Metronidazol,C,Ninguna de las anteriores,Prueba A,Year2025,2025,"Varón de 38 años, gasfitero, presenta fiebre, escalofríos, cefalea frontal intensa, náusea, vómitos, dolor abdominal 
inespecífico, congestión conjuntival, mialgia intensa y fotofobia. Examen: febril, ictérico, PA: 105/75 mmHg, FC: 68 X', 
congestión conjuntival y faríngea, sensibilidad muscular, adenomegalia cervical, meningismo y hepatoesplenomegalia. 
Crepitantes en hemitórax derecho. ¿Cuál es el tratamiento indicado? A) Gentamicina B) Sulfametoxazol C) Penicilina D) Metronidazol E) Ninguna de las anteriores",Respuesta final: D) Metronidazol,JSL-MedLlama-3-8B-v2.0
"Varón de 46 años, hace una hora sufre impacto de proyectil de arma de fuego en abdomen. Examen: PA: 60/40 mmHg, 
FC: 100X'. Pálido. Tórax: MV normal. Cardiovascular: RC disminuidos de intensidad. Abdomen: distendido, orificio en 
mesogastrio, RHA disminuidos, signo de rebote (+). ¿Cuál es la indicación inmediata?",Laparatomía exploratoria,Laparoscopía diagnóstica,Exploración de la herida,FAST,A,Ninguna de las anteriores,Prueba A,Year2025,2025,"Varón de 46 años, hace una hora sufre impacto de proyectil de arma de fuego en abdomen. Examen: PA: 60/40 mmHg, 
FC: 100X'. Pálido. Tórax: MV normal. Cardiovascular: RC disminuidos de intensidad. Abdomen: distendido, orificio en 
mesogastrio, RHA disminuidos, signo de rebote (+). ¿Cuál es la indicación inmediata? A) Laparatomía exploratoria B) Laparoscopía diagnóstica C) Exploración de la herida D) FAST E) Ninguna de las anteriores","Resumen de la información: El paciente es un varón de 46 años que ha sufrido un impacto de proyectil de arma de fuego en el abdomen hace una hora. Presenta signos vitales de presión arterial (PA) 60/40 mmHg y frecuencia cardíaca (FC) 100X, apariencia pálida, tórax con movimiento normal de pecho, reducción de intensidad de ruidos cardíacos, abdomen distendido con orificio en el mesogastrio, reducción de ruidos abdominales y signo de rebote positivo.  La indicación inmediata es la laparatomía exploratoria.  Respuesta final: A) Laparatomía exploratoria",JSL-MedLlama-3-8B-v2.0
